[2026-05-23 14:13:58] Zarejestrowano alert: Protokół=UDP, Źródło=192.168.0.13, Cel=128.116.5.33, Port=51797
[2026-05-23 14:13:58] Zarejestrowano alert: Protokół=UDP, Źródło=192.168.0.13, Cel=128.116.5.33, Port=51797
[2026-05-23 14:13:59] Zarejestrowano alert: Protokół=UDP, Źródło=128.116.5.33, Cel=192.168.0.13, Port=55289
[2026-05-23 14:14:01] Zarejestrowano alert: Protokół=UDP, Źródło=128.116.5.33, Cel=192.168.0.13, Port=55289
[2026-05-23 14:14:03] Zarejestrowano alert: Protokół=UDP, Źródło=192.168.0.13, Cel=128.116.5.33, Port=51797
[2026-05-23 14:14:05] Zarejestrowano alert: Protokół=TCP, Źródło=35.190.88.7, Cel=192.168.0.13, Port=60718
[2026-05-23 14:14:06] Zarejestrowano alert: Protokół=UDP, Źródło=192.168.0.13, Cel=128.116.5.33, Port=51797
[2026-05-23 14:14:06] Zarejestrowano alert: Protokół=TCP, Źródło=128.116.21.3, Cel=192.168.0.13, Port=59057
[2026-05-23 14:14:07] Zarejestrowano alert: Protokół=UDP, Źródło=192.168.0.13, Cel=128.116.5.33, Port=51797
[2026-05-23 14:14:07] Zarejestrowano alert: Protokół=TCP, Źródło=192.168.0.13, Cel=57.144.112.145, Port=443
[2026-05-23 14:14:09] Zarejestrowano alert: Protokół=UDP, Źródło=128.116.5.33, Cel=192.168.0.13, Port=55289
[2026-05-23 14:14:10] Zarejestrowano alert: Protokół=UDP, Źródło=128.116.5.33, Cel=192.168.0.13, Port=55289
[2026-05-23 14:14:12] Zarejestrowano alert: Protokół=UDP, Źródło=128.116.5.33, Cel=192.168.0.13, Port=55289
[2026-05-23 14:14:13] Zarejestrowano alert: Protokół=UDP, Źródło=128.116.5.33, Cel=192.168.0.13, Port=55289
[2026-05-23 14:14:15] Zarejestrowano alert: Protokół=UDP, Źródło=192.168.0.13, Cel=8.8.8.8, Port=22
[2026-05-23 14:14:16] Zarejestrowano alert: Protokół=UDP, Źródło=192.168.0.13, Cel=104.20.30.40, Port=22
[2026-05-23 14:14:17] Zarejestrowano alert: Protokół=UDP, Źródło=192.168.0.13, Cel=128.116.5.33, Port=51797
[2026-05-23 14:14:17] Zarejestrowano alert: Protokół=UDP, Źródło=128.116.5.33, Cel=192.168.0.13, Port=55291
[2026-05-23 14:14:18] Zarejestrowano alert: Protokół=UDP, Źródło=128.116.5.33, Cel=192.168.0.13, Port=55289
[2026-05-23 14:14:18] Zarejestrowano alert: Protokół=UDP, Źródło=192.168.0.13, Cel=128.116.5.33, Port=51797
[2026-05-23 14:14:19] Zarejestrowano alert: Protokół=TCP, Źródło=159.124.21.33, Cel=192.168.0.13, Port=57518
[2026-05-23 14:14:19] Zarejestrowano alert: Protokół=UDP, Źródło=192.168.0.13, Cel=128.116.5.33, Port=51797
[2026-05-23 14:14:20] Zarejestrowano alert: Protokół=UDP, Źródło=192.168.0.13, Cel=128.116.5.33, Port=51797
[2026-05-23 14:14:20] Zarejestrowano alert: Protokół=TCP, Źródło=192.168.0.13, Cel=13.227.146.64, Port=443
[2026-05-23 14:14:21] Zarejestrowano alert: Protokół=TCP, Źródło=192.168.0.13, Cel=170.72.250.72, Port=443
[2026-05-23 14:14:22] Zarejestrowano alert: Protokół=UDP, Źródło=128.116.5.33, Cel=192.168.0.13, Port=55289
[2026-05-23 14:14:22] Zarejestrowano alert: Protokół=UDP, Źródło=192.168.0.13, Cel=128.116.5.33, Port=51797
[2026-05-23 14:14:24] Zarejestrowano alert: Protokół=UDP, Źródło=192.168.0.13, Cel=128.116.5.33, Port=51797
[2026-05-23 14:14:25] Zarejestrowano alert: Protokół=TCP, Źródło=159.124.21.33, Cel=192.168.0.13, Port=57518
[2026-05-23 14:14:25] Zarejestrowano alert: Protokół=UDP, Źródło=192.168.0.13, Cel=128.116.5.33, Port=51797
[2026-05-23 14:14:26] Zarejestrowano alert: Protokół=UDP, Źródło=192.168.0.13, Cel=128.116.5.33, Port=56167
[2026-05-23 14:14:27] Zarejestrowano alert: Protokół=UDP, Źródło=128.116.5.33, Cel=192.168.0.13, Port=55289
[2026-05-23 14:14:27] Zarejestrowano alert: Protokół=UDP, Źródło=128.116.5.33, Cel=192.168.0.13, Port=55289
[2026-05-23 14:14:28] Zarejestrowano alert: Protokół=UDP, Źródło=128.116.5.33, Cel=192.168.0.13, Port=55289
[2026-05-23 14:14:28] Zarejestrowano alert: Protokół=UDP, Źródło=192.168.0.13, Cel=128.116.5.33, Port=56167
[2026-05-23 14:14:29] Zarejestrowano alert: Protokół=UDP, Źródło=128.116.5.33, Cel=192.168.0.13, Port=55289
[2026-05-23 14:14:30] Zarejestrowano alert: Protokół=UDP, Źródło=128.116.5.33, Cel=192.168.0.13, Port=55289
[2026-05-23 14:14:31] Zarejestrowano alert: Protokół=UDP, Źródło=192.168.0.13, Cel=128.116.5.33, Port=51797
[2026-05-23 14:14:33] Zarejestrowano alert: Protokół=UDP, Źródło=192.168.0.13, Cel=128.116.5.33, Port=51797
[2026-05-23 14:14:34] Zarejestrowano alert: Protokół=UDP, Źródło=192.168.0.13, Cel=128.116.5.33, Port=51797
[2026-05-23 14:14:34] Zarejestrowano alert: Protokół=UDP, Źródło=128.116.5.33, Cel=192.168.0.13, Port=55289
[2026-05-23 14:14:35] Zarejestrowano alert: Protokół=UDP, Źródło=192.168.0.13, Cel=50.1.2.3, Port=52938
[2026-05-23 14:14:38] Zarejestrowano alert: Protokół=UDP, Źródło=192.168.0.13, Cel=128.116.5.33, Port=51797
[2026-05-23 14:14:38] Zarejestrowano alert: Protokół=UDP, Źródło=192.168.0.13, Cel=128.116.5.33, Port=51797
[2026-05-23 14:14:39] Zarejestrowano alert: Protokół=UDP, Źródło=128.116.5.33, Cel=192.168.0.13, Port=55289
[2026-05-23 14:14:41] Zarejestrowano alert: Protokół=UDP, Źródło=192.168.0.13, Cel=128.116.5.33, Port=51797
[2026-05-23 14:14:42] Zarejestrowano alert: Protokół=TCP, Źródło=23.211.74.105, Cel=192.168.0.13, Port=49850
[2026-05-23 14:14:42] Zarejestrowano alert: Protokół=UDP, Źródło=192.168.0.13, Cel=104.20.30.40, Port=53
[2026-05-23 14:14:43] Zarejestrowano alert: Protokół=TCP, Źródło=159.124.21.33, Cel=192.168.0.13, Port=57518
[2026-05-23 14:14:43] Zarejestrowano alert: Protokół=UDP, Źródło=192.168.0.13, Cel=128.116.5.33, Port=51797
[2026-05-23 14:14:43] Zarejestrowano alert: Protokół=UDP, Źródło=128.116.5.33, Cel=192.168.0.13, Port=55289
[2026-05-23 14:14:44] Zarejestrowano alert: Protokół=UDP, Źródło=128.116.5.33, Cel=192.168.0.13, Port=55289
[2026-05-23 14:14:46] Zarejestrowano alert: Protokół=UDP, Źródło=192.168.0.13, Cel=8.8.8.8, Port=22
[2026-05-23 14:14:46] Zarejestrowano alert: Protokół=UDP, Źródło=192.168.0.13, Cel=128.116.5.33, Port=51797
[2026-05-23 14:14:47] Zarejestrowano alert: Protokół=UDP, Źródło=128.116.5.33, Cel=192.168.0.13, Port=55289
[2026-05-23 14:14:47] Zarejestrowano alert: Protokół=UDP, Źródło=192.168.0.13, Cel=128.116.5.33, Port=51797
[2026-05-23 14:14:48] Zarejestrowano alert: Protokół=UDP, Źródło=192.168.0.13, Cel=24.50.60.70, Port=22
[2026-05-23 14:14:48] Zarejestrowano alert: Protokół=UDP, Źródło=192.168.0.13, Cel=128.116.5.33, Port=51797
[2026-05-23 14:14:50] Zarejestrowano alert: Protokół=UDP, Źródło=192.168.0.13, Cel=128.116.5.33, Port=51797
[2026-05-23 14:14:50] Zarejestrowano alert: Protokół=TCP, Źródło=159.124.21.33, Cel=192.168.0.13, Port=57518
[2026-05-23 14:14:51] Zarejestrowano alert: Protokół=UDP, Źródło=128.116.5.33, Cel=192.168.0.13, Port=55289
[2026-05-23 14:14:52] Zarejestrowano alert: Protokół=UDP, Źródło=192.168.0.13, Cel=128.116.5.33, Port=51797
[2026-05-23 14:14:52] Zarejestrowano alert: Protokół=UDP, Źródło=192.168.0.13, Cel=128.116.5.33, Port=51797
[2026-05-23 14:14:52] Zarejestrowano alert: Protokół=TCP, Źródło=192.168.0.13, Cel=170.72.250.72, Port=443
[2026-05-23 14:14:52] Zarejestrowano alert: Protokół=UDP, Źródło=192.168.0.13, Cel=17.12.34.56, Port=53
[2026-05-23 14:14:54] Zarejestrowano alert: Protokół=UDP, Źródło=192.168.0.13, Cel=128.116.5.33, Port=51797
[2026-05-23 14:14:54] Zarejestrowano alert: Protokół=UDP, Źródło=192.168.0.13, Cel=128.116.5.33, Port=51797
[2026-05-23 14:14:55] Zarejestrowano alert: Protokół=UDP, Źródło=192.168.0.13, Cel=128.116.5.33, Port=51797
[2026-05-23 14:14:56] Zarejestrowano alert: Protokół=UDP, Źródło=192.168.0.13, Cel=128.116.5.33, Port=51797
[2026-05-23 14:14:56] Zarejestrowano alert: Protokół=TCP, Źródło=128.116.21.3, Cel=192.168.0.13, Port=59057
[2026-05-23 14:14:57] Zarejestrowano alert: Protokół=UDP, Źródło=192.168.0.13, Cel=128.116.5.33, Port=51797
[2026-05-23 14:14:57] Zarejestrowano alert: Protokół=TCP, Źródło=128.116.21.3, Cel=192.168.0.13, Port=64065
[2026-05-23 14:14:58] Zarejestrowano alert: Protokół=TCP, Źródło=192.168.0.13, Cel=128.116.5.3, Port=443
[2026-05-23 14:14:58] Zarejestrowano alert: Protokół=UDP, Źródło=128.116.5.33, Cel=192.168.0.13, Port=55289
[2026-05-23 14:14:59] Zarejestrowano alert: Protokół=UDP, Źródło=192.168.0.13, Cel=128.116.5.33, Port=51797
[2026-05-23 14:15:00] Zarejestrowano alert: Protokół=UDP, Źródło=128.116.5.33, Cel=192.168.0.13, Port=55289
[2026-05-23 14:15:01] Zarejestrowano alert: Protokół=UDP, Źródło=128.116.5.33, Cel=192.168.0.13, Port=55289
[2026-05-23 14:15:02] Zarejestrowano alert: Protokół=UDP, Źródło=192.168.0.13, Cel=128.116.5.33, Port=56167
[2026-05-23 14:15:02] Zarejestrowano alert: Protokół=UDP, Źródło=192.168.0.13, Cel=128.116.5.33, Port=51797
[2026-05-23 14:15:04] Zarejestrowano alert: Protokół=TCP, Źródło=159.124.21.33, Cel=192.168.0.13, Port=57518
[2026-05-23 14:15:06] Zarejestrowano alert: Protokół=UDP, Źródło=128.116.5.33, Cel=192.168.0.13, Port=55291
[2026-05-23 14:15:07] Zarejestrowano alert: Protokół=UDP, Źródło=192.168.0.13, Cel=128.116.5.33, Port=51797
[2026-05-23 14:15:08] Zarejestrowano alert: Protokół=UDP, Źródło=192.168.0.13, Cel=128.116.5.33, Port=51797
[2026-05-23 14:15:10] Zarejestrowano alert: Protokół=UDP, Źródło=192.168.0.13, Cel=128.116.5.33, Port=51797
[2026-05-23 14:15:14] Zarejestrowano alert: Protokół=TCP, Źródło=192.168.0.13, Cel=20.42.65.85, Port=443
[2026-05-23 14:15:14] Zarejestrowano alert: Protokół=UDP, Źródło=192.168.0.13, Cel=17.12.34.56, Port=53
[2026-05-23 14:15:15] Zarejestrowano alert: Protokół=UDP, Źródło=192.168.0.13, Cel=128.116.5.33, Port=56167
[2026-05-23 14:15:15] Zarejestrowano alert: Protokół=UDP, Źródło=128.116.5.33, Cel=192.168.0.13, Port=55289
[2026-05-23 14:15:15] Zarejestrowano alert: Protokół=UDP, Źródło=192.168.0.13, Cel=128.116.5.33, Port=51797
[2026-05-23 14:15:16] Zarejestrowano alert: Protokół=UDP, Źródło=128.116.5.33, Cel=192.168.0.13, Port=55289
[2026-05-23 14:15:16] Zarejestrowano alert: Protokół=UDP, Źródło=128.116.5.33, Cel=192.168.0.13, Port=55289
[2026-05-23 14:15:17] Zarejestrowano alert: Protokół=UDP, Źródło=192.168.0.13, Cel=128.116.5.33, Port=51797
